GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-elasticsearch,com.stackroute.service,KafkaConsumer,28,6,0,0,5,1,2,1,2,1
spring-boot-elasticsearch,com.stackroute.loaders,Loaders,91,13,0,0,6,5,0,2,0,2
spring-boot-elasticsearch,com.stackroute.dao,DocumentDao,2934,20,48,0,151,7,36,1,12,1
spring-boot-elasticsearch,com.stackroute.domain,ExtractedFileData.ExtractedFileDataBuilder,50,0,0,0,1,0,6,0,6,0
spring-boot-elasticsearch,com.stackroute.domain,DocResult,185,0,30,0,7,0,28,0,13,0
spring-boot-elasticsearch,com.stackroute.domain,DocResult.DocResultBuilder,50,0,0,0,1,0,6,0,6,0
spring-boot-elasticsearch,com.stackroute.domain,ExtractedFileData,186,0,30,0,7,0,28,0,13,0
spring-boot-elasticsearch,com.stackroute.controller,DocumentController,20,6,0,0,5,3,4,1,4,1
spring-boot-elasticsearch,com.stackroute,DocIdentifierApplication,5,3,0,0,2,1,1,1,1,1
spring-boot-elasticsearch,com.stackroute.config,ElasticSearchConfiguration,20,47,2,0,8,10,2,6,1,6
spring-boot-elasticsearch,com.stackroute.config,KafkaConfiguration,0,88,0,0,0,19,0,5,0,5
