GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Input-Processor,com.stackroute.knowledgevault.inputprocessor.config,KafkaProducerConfig,39,0,0,0,8,0,3,0,3,0
Input-Processor,com.stackroute.knowledgevault.inputprocessor.config,KafkaConsumerConfig,88,0,0,0,19,0,5,0,5,0
Input-Processor,com.stackroute.knowledgevault.inputprocessor,InputProcessorApplication,8,0,0,0,3,0,2,0,2,0
Input-Processor,com.stackroute.knowledgevault.inputprocessor.listener,KafkaConsumer,43,0,0,0,10,0,3,0,3,0
Input-Processor,com.stackroute.knowledgevault.inputprocessor.listener,KafkaProducer,15,0,0,0,6,0,2,0,2,0
Input-Processor,com.stackroute.knowledgevault.inputprocessor.utilities,Processor,72,27,6,0,12,8,6,3,3,3
Input-Processor,com.stackroute.knowledgevault.inputprocessor.utilities,FillUpData,94,0,6,0,27,0,6,0,3,0
Input-Processor,com.stackroute.knowledgevault.domain,Input,89,0,14,0,4,0,15,0,8,0
Input-Processor,com.stackroute.knowledgevault.domain,JSONld,89,0,14,0,4,0,15,0,8,0
Input-Processor,com.stackroute.knowledgevault.inputprocessor.algos,FullTextSearchImpl,465,39,27,1,94,12,18,5,4,5
