GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
input-tagger,com.stackroute.knowledgevault.inputtagger.config,KafkaConsumerConfig,0,134,0,0,0,28,0,7,0,7
input-tagger,com.stackroute.knowledgevault.inputtagger.config,KafkaProducerConfig,0,39,0,0,0,8,0,3,0,3
input-tagger,com.stackroute.knowledgevault.inputtagger.utils,Processor,486,45,51,0,103,7,30,2,3,2
input-tagger,com.stackroute.knowledgevault.inputtagger.utils,NGram,122,0,12,0,26,0,11,0,5,0
input-tagger,com.stackroute.knowledgevault.inputtagger.utils,KeywordFilter,110,0,8,0,18,0,7,0,3,0
input-tagger,com.stackroute.knowledgevault.inputtagger.communicator,KafkaProducer,14,10,0,0,4,4,1,2,1,2
input-tagger,com.stackroute.knowledgevault.inputtagger.communicator,KafkaConsumer,92,12,8,0,20,3,6,2,2,2
input-tagger,com.stackroute.knowledgevault.inputtagger,InputTaggerApplication,5,3,0,0,2,1,1,1,1,1
input-tagger,com.stackroute.knowledgevault.domain,InputLemma,118,0,16,0,5,0,18,0,10,0
input-tagger,com.stackroute.knowledgevault.domain,InputPOS,118,0,16,0,5,0,18,0,10,0
input-tagger,com.stackroute.knowledgevault.domain,Keyword,193,0,26,0,7,0,27,0,14,0
input-tagger,com.stackroute.knowledgevault.domain,InputObject,161,3,24,0,5,1,23,1,11,1
input-tagger,com.stackroute.knowledgevault.domain,ProcessedInput,89,0,14,0,4,0,15,0,8,0
input-tagger,com.stackroute.knowledgevault.domain,InputToken,118,0,16,0,5,0,18,0,10,0
