GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
queryEngine,com.stackroute.knowledgevault.queryengine.listener,KafkaConsumer,84,0,4,0,16,0,5,0,3,0
queryEngine,com.stackroute.knowledgevault.queryengine.config,KafkaConsumerConfig,88,0,0,0,19,0,5,0,5,0
queryEngine,com.stackroute.knowledgevault.queryengine.controller,QueryController,76,0,0,0,17,0,4,0,4,0
queryEngine,com.stackroute.knowledgevault.queryengine,QueryEngineApplication,8,0,0,0,3,0,2,0,2,0
queryEngine,com.stackroute.knowledgevault.queryengine.service,QueryService,852,0,56,0,160,0,37,0,9,0
queryEngine,com.stackroute.knowledgevault.queryengine.service,DriverInit,13,0,0,0,4,0,2,0,2,0
queryEngine,com.stackroute.knowledgevault.queryengine.service,ExtractedDataService,0,14,0,0,0,5,0,2,0,2
queryEngine,com.stackroute.knowledgevault.queryengine.service,ParaContentService,0,14,0,0,0,5,0,2,0,2
queryEngine,com.stackroute.knowledgevault.domain,ExtractedFileData.ExtractedFileDataBuilder,50,0,0,0,1,0,6,0,6,0
queryEngine,com.stackroute.knowledgevault.domain,ExtractedFileData,170,15,30,0,5,2,24,4,9,4
queryEngine,com.stackroute.knowledgevault.domain,OutputResult.OutputResultBuilder,74,0,0,0,1,0,8,0,8,0
queryEngine,com.stackroute.knowledgevault.domain,OutputResult,277,0,46,0,9,0,40,0,17,0
queryEngine,com.stackroute.knowledgevault.domain,ProcessedInput,89,0,14,0,4,0,15,0,8,0
queryEngine,com.stackroute.knowledgevault.domain,ParaContent,166,15,30,0,4,2,23,4,8,4
